Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Value,Business Meaning
Row ID,int64,9800,0,9800,1,Unique row identifier
Order ID,str,9800,0,4922,CA-2017-152156,Unique order identifier
Order Date,str,9800,0,1230,8/11/2017,Date when order was placed
Ship Date,str,9800,0,1326,11/11/2017,Date when order was shipped
Ship Mode,str,9800,0,4,Second Class,Shipping method chosen
Customer ID,str,9800,0,793,CG-12520,Unique customer identifier
Customer Name,str,9800,0,793,Claire Gute,Full name of customer
Segment,str,9800,0,3,Consumer,Customer segment (Consumer/Corporate/Home Office)
Country,str,9800,0,1,United States,Country of order
City,str,9800,0,529,Henderson,City of order
State,str,9800,0,49,Kentucky,State of order
Postal Code,float64,9789,11,626,42420.0,Postal/ZIP code
Region,str,9800,0,4,South,Sales region (East/West/Central/South)
Product ID,str,9800,0,1861,FUR-BO-10001798,Unique product identifier
Category,str,9800,0,3,Furniture,Product category (Furniture/Office Supplies/Technology)
Sub-Category,str,9800,0,17,Bookcases,Product sub-category
Product Name,str,9800,0,1849,Bush Somerset Collection Bookcase,Full product name
Sales,float64,9800,0,5757,261.96,Revenue from the order
